Epoch,Train_Loss,Train_DTI_MSE,Val_DTI_MSE,Val_DTI_CI,Train_DDI_AUC,Val_DDI_AUC,Train_DDI_ACC,Val_DDI_ACC
1.0,7.495542350241808,1.342115953621456,0.6900646686553955,0.08018100261688232,0.7161725648783683,0.7602218560021341,0.6537398373983739,0.6876862197671125
2.0,6.831892250262625,0.7842799111944792,0.6124454736709595,0.13684023916721344,0.7960147325892079,0.7912775685480501,0.7222154471544715,0.7157245076866261
3.0,6.739166956258014,0.7388933494265918,0.5830152034759521,0.17685529589653015,0.826419749215068,0.8058657561580838,0.7488414634146342,0.7276306212524486
4.0,6.67292572308362,0.7010534012451335,0.5514693856239319,0.20802836120128632,0.8418144842391158,0.8151930932263661,0.7614837398373984,0.7295464514116549
5.0,6.61769141135177,0.6758710490275757,0.6037888526916504,0.23250560462474823,0.8571678784974459,0.8241565839643208,0.7776117886178862,0.737271920001243
6.0,6.558245392698582,0.6452255845716056,0.6129817962646484,0.2624208927154541,0.8684297352218805,0.8306008067424138,0.7875406504065041,0.7533025063552258
7.0,6.524005677758193,0.6333948242429186,0.5760312676429749,0.2523924708366394,0.8766155897835692,0.8370619475055388,0.7960162601626016,0.7415864221065048
8.0,6.492258007778385,0.6215699269681446,0.5443107485771179,0.2764529883861542,0.8835647601325785,0.8365745880042326,0.8029369918699187,0.7538869361417834
9.0,6.4598567157838405,0.6098906690856285,0.5647534132003784,0.2908371388912201,0.8915500365417153,0.8401251618080832,0.8122560975609756,0.7577903056364608
10.0,6.428246852363028,0.5956008363817841,0.6073406338691711,0.29217642545700073,0.8979419206597881,0.8425337594780506,0.8202743902439025,0.7497397554478059
11.0,6.408876710752161,0.5906934518720527,0.49293649196624756,0.28955942392349243,0.9033837152661337,0.8435975737536372,0.8253658536585365,0.7650759579449584
12.0,6.3912245356552,0.5817563799186881,0.5228934288024902,0.31187736988067627,0.9064555022118187,0.8496128847842198,0.8291565040650406,0.7732448282744502
13.0,6.371902867759147,0.5735146946426769,0.4895000755786896,0.30912789702415466,0.9111780610716774,0.851723268096599,0.8341768292682927,0.7512671609022449
14.0,6.354530890395002,0.5678873821541688,0.47868847846984863,0.315767377614975,0.9158304691634002,0.85148962869407,0.8401219512195122,0.7714461231031429
15.0,6.333278891090455,0.5569061586637255,0.5255012512207031,0.3305342197418213,0.91949052024237,0.857548226350149,0.8454369918699187,0.7767908470407415
16.0,6.320234520067045,0.5502737721228266,0.45929956436157227,0.3445137143135071,0.9216615083293065,0.8580334786438211,0.8486686991869918,0.7635473573375817
17.0,6.3057926794377765,0.5417732699736415,0.48058822751045227,0.3358193337917328,0.9236819428088436,0.8546739845984088,0.8515853658536585,0.7632736673148379
18.0,6.290471397648012,0.5327457270761835,0.4573749303817749,0.33690252900123596,0.9260541121118231,0.8625671291067769,0.8531910569105691,0.7796616043972067
19.0,6.276945069010665,0.5258431670474961,0.5062804222106934,0.3451457619667053,0.9278548417131576,0.8598238694639871,0.8564939024390243,0.7793401082569531
20.0,6.267487173545652,0.5209832826285473,0.512384831905365,0.35785287618637085,0.9296630938597381,0.8623396983125737,0.8584857723577236,0.7759709721254481
21.0,6.250685669426026,0.5108393681314923,0.4542906880378723,0.36772704124450684,0.9319893439577316,0.8612844729191333,0.8622256097560975,0.7793018633629453
22.0,6.239411012370412,0.5061166365974238,0.4253750443458557,0.3839699625968933,0.9340041552824312,0.866158982450377,0.863770325203252,0.7887567182534513
23.0,6.234248231252034,0.502754026921087,0.478572279214859,0.3593241274356842,0.93482354532124,0.8631378189035104,0.8655589430894309,0.7764860830416164
24.0,6.2158690979810265,0.4931353431006292,0.4155328869819641,0.38441002368927,0.9378434518659211,0.8650001662903797,0.8692276422764228,0.7757498688319651
25.0,6.210291660355359,0.4868964932355976,0.420954167842865,0.40973564982414246,0.9372789187076345,0.869149088751659,0.8688516260162602,0.7822670378014923
26.0,6.197162675004664,0.48114383909974767,0.4328100383281708,0.3555956780910492,0.9397801262878449,0.8672153692742822,0.8717276422764227,0.7892108763697947
27.0,6.188200777720629,0.4771457265925611,0.43722862005233765,0.3795507550239563,0.9417635189027662,0.8696263291145975,0.8732317073170732,0.7913502001283594
28.0,6.1807393659421095,0.47121824169081544,0.40026962757110596,0.40625548362731934,0.9417188586820129,0.8686695869716105,0.8754065040650406,0.7369982299784992
29.0,6.169798840235888,0.4664233861577881,0.4071100950241089,0.4120773375034332,0.9437386973550914,0.8700950953211835,0.8775,0.759180268503059
30.0,6.164199094462201,0.463336471698595,0.3914772868156433,0.4086932837963104,0.9444027304722059,0.8670112514189334,0.8786382113821138,0.7900642155673451
